epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,303.988,0.68194,0.62363,1.07679,0.8261,0.64622,0.7413,0.50616,1.08238,0.94155,1.30263,0.00121316,0.00121316,0.00121316
57,308.811,0.71986,0.62366,1.11165,0.82029,0.6555,0.73921,0.50319,1.06933,1.01306,1.2645,0.00120491,0.00120491,0.00120491
58,314.128,0.72731,0.64207,1.10828,0.78796,0.69951,0.7235,0.50674,0.9999,0.93849,1.24876,0.00119666,0.00119666,0.00119666
59,319.22,0.70767,0.63579,1.11262,0.84621,0.62574,0.73445,0.51054,1.08568,0.9597,1.33125,0.0011884,0.0011884,0.0011884
60,324.528,0.69346,0.62374,1.08386,0.77921,0.66452,0.72242,0.50067,1.08197,0.9557,1.34046,0.00118015,0.00118015,0.00118015
61,329.921,0.69658,0.60874,1.08687,0.83646,0.67374,0.72077,0.503,0.99726,1.03387,1.25006,0.0011719,0.0011719,0.0011719
62,334.843,0.69287,0.59414,1.10753,0.85109,0.64001,0.71245,0.51571,0.99798,1.18976,1.23956,0.00116365,0.00116365,0.00116365
63,339.789,0.70936,0.60216,1.10045,0.83496,0.65993,0.71661,0.5046,1.06147,1.14407,1.30392,0.0011554,0.0011554,0.0011554
64,344.849,0.68982,0.61324,1.09269,0.83167,0.68129,0.72126,0.52088,1.04982,1.05038,1.31374,0.00114715,0.00114715,0.00114715
65,350.168,0.69842,0.62115,1.0943,0.7963,0.71085,0.7036,0.50925,0.96882,0.99457,1.21645,0.00113889,0.00113889,0.00113889
66,355.472,0.64802,0.584,1.07165,0.85959,0.70803,0.77146,0.54542,0.97409,0.89092,1.19784,0.00113064,0.00113064,0.00113064
67,360.482,0.69514,0.58695,1.10104,0.80778,0.7085,0.75641,0.53265,1.02967,0.91284,1.2878,0.00112239,0.00112239,0.00112239
68,365.28,0.69322,0.57854,1.08309,0.85132,0.66012,0.75071,0.53715,1.00505,0.88095,1.2603,0.00111414,0.00111414,0.00111414
69,370.52,0.68837,0.59156,1.08777,0.81726,0.67743,0.74456,0.53178,1.03858,0.92906,1.32209,0.00110589,0.00110589,0.00110589
70,376.241,0.64506,0.56722,1.06845,0.81143,0.69914,0.74798,0.55419,1.01847,0.98113,1.28846,0.00109764,0.00109764,0.00109764
71,381.274,0.67401,0.56852,1.08095,0.8253,0.69301,0.75726,0.55513,0.97294,0.88659,1.27487,0.00108938,0.00108938,0.00108938
72,386.558,0.65315,0.5644,1.06773,0.8402,0.6296,0.71572,0.51095,0.99366,1.02926,1.285,0.00108113,0.00108113,0.00108113
73,391.759,0.66805,0.57878,1.07722,0.82137,0.65945,0.72793,0.51247,1.06341,1.00269,1.35916,0.00107288,0.00107288,0.00107288
74,396.555,0.64984,0.56198,1.07279,0.85736,0.68103,0.76912,0.56535,0.99184,0.86467,1.2634,0.00106463,0.00106463,0.00106463
75,401.685,0.6636,0.56122,1.07676,0.77982,0.76869,0.77914,0.58217,0.926,0.84765,1.20431,0.00105638,0.00105638,0.00105638
76,407.513,0.62189,0.55151,1.04729,0.80873,0.7142,0.76956,0.55567,1.01615,0.93003,1.29175,0.00104813,0.00104813,0.00104813
77,412.595,0.62668,0.54829,1.06419,0.79998,0.69957,0.76508,0.54157,1.0596,0.91346,1.31562,0.00103987,0.00103987,0.00103987
78,417.955,0.64722,0.56226,1.073,0.84069,0.68689,0.77791,0.55055,1.03551,0.91421,1.2842,0.00103162,0.00103162,0.00103162
79,422.963,0.65443,0.55367,1.05931,0.81014,0.70802,0.7622,0.53896,1.03175,0.90149,1.26305,0.00102337,0.00102337,0.00102337
